"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U5";"ESP32-WROOM";1;"ESP32-WROOM";;;
2;"J1";"PinHeader_1x12_P2.54mm_Vertical";1;"Conn_01x12";;;
3;"J4";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
4;"C1,C2,C3,C6,C7,C8";"C_0805_2012Metric";6;"10uF";;;
5;"C4";"C_0805_2012Metric";1;"1uF";;;
6;"D1";"LED_0805_2012Metric";1;"LED";;;
7;"D3";"LED_0805_2012Metric";1;"RED";;;
8;"D4";"LED_0805_2012Metric";1;"MBR120";;;
9;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
10;"J3";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16";;;
11;"Q1,Q2";"SOT-23";2;"MMBT3904";;;
12;"Q3";"TO-92_Inline";1;"BS250";;;
13;"R1";"R_0805_2012Metric";1;"4.7K";;;
14;"R2,R10";"R_0805_2012Metric";2;"1K";;;
15;"R3,R4,R7,R12";"R_0805_2012Metric";4;"100K";;;
16;"R13,R13G1,R13G2";"R_0805_2012Metric";3;"10K";;;
17;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"SW_1";;;
18;"U1";"SOT-23-5";1;"MCP73831-2-OT";;;
19;"U3";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2104";;;
20;"U4";"SOT-23-5";1;"AP2112K-3.3";;;
